Order ID,Order Date,Customer ID,costumer_name,country,loyalty_card,Product ID,coffee_type,roast_type,price_per_unit,profit_per_unit,Quantity
QEV-37451-860,9/5/2019,17670-51384-MA,Aloisia Allner,United States,Yes,R-M-1,Rob,M,9.95,0.597,2
QEV-37451-860,9/5/2019,17670-51384-MA,Aloisia Allner,United States,Yes,E-M-0.5,Exc,M,8.25,0.9075,5
FAA-43335-268,6/17/2021,21125-22134-PX,Jami Redholes,United States,Yes,A-L-1,Ara,L,12.95,1.1655,1
KAC-83089-793,7/15/2021,23806-46781-OU,Christoffer O' Shea,Ireland,No,E-M-1,Exc,M,13.75,1.5125,2
KAC-83089-793,7/15/2021,23806-46781-OU,Christoffer O' Shea,Ireland,No,R-L-2.5,Rob,L,27.485,1.6491,2
CVP-18956-553,8/4/2021,86561-91660-RB,Beryle Cottier,United States,No,L-D-1,Lib,D,12.95,1.6835,3
IPP-31994-879,1/21/2022,65223-29612-CB,Shaylynn Lobe,United States,Yes,E-D-0.5,Exc,D,7.29,0.8019,3
SNZ-65340-705,5/20/2022,21134-81676-FR,Melvin Wharfe,Ireland,Yes,L-L-0.2,Lib,L,4.755,0.61815,1
EZT-46571-659,1/2/2019,03396-68805-ZC,Guthrey Petracci,United States,No,R-M-0.5,Rob,M,5.97,0.3582,3
NWQ-70061-912,9/5/2019,61021-27840-ZN,Rodger Raven,United States,No,R-M-0.5,Rob,M,5.97,0.3582,1
BKK-47233-845,3/8/2021,76239-90137-UQ,Ferrell Ferber,United States,No,A-D-1,Ara,D,9.95,0.8955,4
VQR-01002-970,10/28/2020,49315-21985-BB,Duky Phizackerly,United States,Yes,E-L-2.5,Exc,L,34.155,3.75705,5
SZW-48378-399,7/2/2022,34136-36674-OM,Rosaleen Scholar,United States,No,R-M-1,Rob,M,9.95,0.597,5
ITA-87418-783,5/22/2020,39396-12890-PE,Terence Vanyutin,United States,No,R-D-2.5,Rob,D,20.585,1.2351,2
GNZ-46006-527,4/5/2022,95875-73336-RG,Patrice Trobe,United States,Yes,L-D-0.2,Lib,D,3.885,0.50505,3
FYQ-78248-319,6/7/2022,25473-43727-BY,Llywellyn Oscroft,United States,No,R-M-2.5,Rob,M,22.885,1.3731,5
VAU-44387-624,3/20/2019,99643-51048-IQ,Minni Alabaster,United States,No,A-M-0.2,Ara,M,3.375,0.30375,6
RDW-33155-159,10/19/2019,62173-15287-CU,Rhianon Broxup,United States,No,A-L-1,Ara,L,12.95,1.1655,6
TDZ-59011-211,6/13/2019,57611-05522-ST,Pall Redford,Ireland,Yes,R-D-2.5,Rob,D,20.585,1.2351,4
IDU-25793-399,12/4/2020,76664-37050-DT,Aurea Corradino,United States,Yes,A-M-0.2,Ara,M,3.375,0.30375,5
IDU-25793-399,12/4/2020,76664-37050-DT,Aurea Corradino,United States,Yes,E-D-0.2,Exc,D,3.645,0.40095,4
NUO-20013-488,12/4/2020,03090-88267-BQ,Avrit Davidowsky,United States,No,A-D-0.2,Ara,D,2.985,0.26865,6
UQU-65630-479,1/22/2021,37651-47492-NC,Annabel Antuk,United States,Yes,R-M-2.5,Rob,M,22.885,1.3731,4
FEO-11834-332,2/11/2022,95399-57205-HI,Iorgo Kleinert,United States,Yes,A-D-0.2,Ara,D,2.985,0.26865,4
TKY-71558-096,9/15/2021,24010-66714-HW,Chrisy Blofeld,United States,No,A-M-1,Ara,M,11.25,1.0125,1
OXY-65322-253,10/24/2020,07591-92789-UA,Culley Farris,United States,Yes,E-M-0.2,Exc,M,4.125,0.45375,3
EVP-43500-491,2/20/2019,49231-44455-IC,Selene Shales,United States,Yes,A-M-0.5,Ara,M,6.75,0.6075,4
WAG-26945-689,10/8/2019,50124-88608-EO,Vivie Danneil,Ireland,No,A-M-0.2,Ara,M,3.375,0.30375,5
